activity_id,date,activity_time,description,user_name,user_id,role_name,role_id,transaction_id,transaction_name,customer_name,customer_id,transaction_type,operation_type,is_from_client_portal,app_source,notes
99381000031740492,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18617"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029202098,SO-18617,RAJASTHAN METRIC UDYOG,99381000002313011,salesorder,deleted,false,Zoho Books,
99381000031740491,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18616"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029202073,SO-18616,YES YES TECHNOLOGIES-COIMBATORE,99381000028030135,salesorder,deleted,false,Zoho Books,
99381000031740490,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18605"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029123001,SO-18605,SOUTHERN SCALES COMPANY,99381000003216035,salesorder,deleted,false,Zoho Books,
99381000031740489,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18593"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029077589,SO-18593,E .G .TECH WEIGHING SYSTEMS,99381000029054936,salesorder,deleted,false,Zoho Books,
99381000031740488,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18580"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029062001,SO-18580,Electro Technologies,99381000001091033,salesorder,deleted,false,Zoho Books,
99381000031740487,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18592"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029004055,SO-18592,Electro Technologies,99381000001091033,salesorder,deleted,false,Zoho Books,
99381000031740486,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18576"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029017001,SO-18576,CENTRAL TRADERS (New),99381000020724005,salesorder,deleted,false,Zoho Books,
99381000031740485,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18562"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000029006001,SO-18562,TRAAS TECH,99381000000364094,salesorder,deleted,false,Zoho Books,
99381000031740484,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18550"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028966029,SO-18550,MASS TECHNOLOGY,99381000000014461,salesorder,deleted,false,Zoho Books,
99381000031740483,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18543"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028953022,SO-18543,MALABAR SCALES- Thirssur,99381000005496103,salesorder,deleted,false,Zoho Books,
99381000031740482,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18535"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028915030,SO-18535,V K ELECTRONICS,99381000001357416,salesorder,deleted,false,Zoho Books,
99381000031740481,2026-07-26,26/07/2026 10:24 AM,"Sales Orders ""SO-18526"" Deleted",Faisal,99381000000828003,Admin,99381000000000777,99381000028918001,SO-18526,VASAVI SCALES,99381000022054001,salesorder,deleted,false,Zoho Books,
