PriceList Name,PriceList ID,Currency Code,Description,Percentage,Is Increase,Rounding Type,Decimal Place,PriceList Status,Type,IsDefault,Item Name,SKU,Pricing Scheme,Start Quantity,End Quantity,PriceList Rate,Discount
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC Battery To Board 2 Pin,BPC108,unit,1.00,1.00,15.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,C.M TRANSFORMER CCM,CCM110,unit,1.00,1.00,265.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q8LBL DISPLY STICKER BACK,Q8619,unit,1.00,1.00,125.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ATM JUNIOR FRONT DISPLAY (BI COLOR),AJFDBC,unit,1.00,1.00,150.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Led Red,LEDR,unit,1.00,1.00,1.500000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ACS-826B,A826,unit,1.00,1.00,930.650000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Sealing Machine,FR990,unit,1.00,1.00,9750.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale(GG),PWSG,unit,1.00,1.00,1050.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,PLATFORM SCALE,PLATFO,unit,1.00,1.00,2100.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINTER MOTHERBOARD CASE,Q9723,unit,1.00,1.00,75.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Buzzer (B3+),BUZZER,unit,1.00,1.00,20.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ACS-779D,A779,unit,1.00,1.00,998.800000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECR KEYPAD,ECR105,unit,1.00,1.00,1400.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Platform Weighing Scale (FG),BY5030FG,unit,1.00,1.00,1050.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q9LBL PRINTER PAPER FEEDER SET,Q9724,unit,1.00,1.00,120.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Indicator holder  (B3+),IHB3,unit,1.00,1.00,120.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Jwellery Scale XY600-2C (600g/0.01g),YSJ612C,unit,1.00,1.00,3750.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ATM30DAD1 Dust Cover,ADC301,unit,1.00,1.00,65.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,ECS5W / 4W/Q10 DISPLAY BACK,ECS809,unit,1.00,1.00,1100.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Bench PC Transformer Box,BPC109,unit,1.00,1.00,25.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Infrared Thermometer,INFRATHERMO,unit,1.00,1.00,2430.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,MAGNETIC & DENOMINATION SENSOR WITH FRAME CCM,CCM111,unit,1.00,1.00,875.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Q8LBL PAN,Q8621,unit,1.00,1.00,650.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell 10KG 130mm,L10130,unit,1.00,1.00,180.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,STICKER 620G 0.01G,DJ108,unit,1.00,1.00,150.000000,
DIR PRICE,99381000015510001,INR,,,false,no_rounding,0,active,per_item,false,Loadcell Connector 5 Pin,CONMT5,unit,1.00,1.00,30.000000,
