Product ID,Product Name,Usage unit,Description,Product Type,AttributeName1,AttributeName2,AttributeName3,Manufacturer,Brand,Is Returnable Item,Is Receivable Service,Category Name,Variant Type,Variant Name,Variant Description,Selling Price,MRP,SKU,Purchase Price,Purchase Description,AttributeOption1,AttributeOption2,AttributeOption3,Opening Stock,Opening Stock Value,Inventory Valuation Method,HSN/SAC,Is Tax Calculated on Label Price,UPC,EAN,ISBN,Part Number,Reorder Level,Package weight,Package width,Package height,Package length,Dimension Unit,Weight Unit,Taxable,Exemption Reason,Taxability Type,Intra State Tax Name,Intra State Tax Rate,Intra State Tax Type,Inter State Tax Name,Inter State Tax Rate,Inter State Tax Type,Item.CF.No of pcs in Master carton
99381000030748701,"SCANGLE-POS TERMINAL SGT-i8 15.6""  i5 5TH GEN",nos,"880P ANDROID RK3568 QUAD CORE 2GB+32GB SSD 15.6"" FRONT DISPLAY 11.6"" 2ND DISPLAY  80MM PRINTER
",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"Pos Terminal A 15.6"" Rear 11""","880P ANDROID RK3568 QUAD CORE 2GB+32GB SSD 15.6"" FRONT DISPLAY 11.6"" 2ND DISPLAY  80MM PRINTER
",INR 29700.00,INR 37000.00,880PRD,INR 24750.00,"880P ANDROID RK3568 QUAD CORE 2GB+32GB SSD 15.6"" FRONT DISPLAY 11.6"" 2ND DISPLAY  80MM PRINTER
",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748702,TABLE TOP CHOTTU (G-EG),nos,"Model : YST-20
Max : 20kg e:2gm Min: 40g Class III
Display : Green",goods,,,,,,false,,WEIGHING SCALES INDIA,Inventory,TABLE TOP CHOTTU 6V,"Model : YST-20
Max : 20kg e:2gm Min: 40g Class III
Display : Green",INR 1300.00,INR 4000.00,CH6VSF,INR 1050.00,"Max : 20kg e:2gm Min: 40g Class III
Display : Led Green,With Colour box,Brevera Board,6V Batttery",,,,0.00,INR 0.00,fifo,84231000,FALSE,,,,,,20.000000,32.000000,48.000000,62.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,6
99381000030748703,TABLE TOP SCALE PC (GREEN-AY),nos,"Model : YST-30
Max : 30kg e:5gm Min: 100g Class III
Display : Green",goods,,,,,,false,,WEIGHING SCALES INDIA,Inventory,VIBRANT POLE,"Model : YST-30
Max : 30kg e:5gm Min: 100g Class III
Display : Green",INR 1730.00,INR 5900.00,VBPL,INR 1400.00,"Model : YST-30
Max : 30kg e:5gm Min: 100g Class III
Display : Led Green, Brevera Board,6V Battery",,,,0.00,INR 0.00,fifo,84231000,FALSE,,,,,,20.000000,32.000000,48.000000,62.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,6
99381000030748704,"SCANGLE-POS TERMINAL SGT-i8 15.6""  i5 5TH GEN",nos," INTEL i5 5th GEN 8GB+128GB SSD 15.6"" FRONT DISPLAY 
11.6"" 2ND DISPLAY BUILT IN 80MM PRINTER",goods,,,,,,true,,TOUCH POS SYSTEMS,Inventory,"POS Terminal 15.6"" Rear 11.6"""," INTEL i5 5th GEN 8GB+128GB SSD 15.6"" FRONT DISPLAY 
11.6"" 2ND DISPLAY BUILT IN 80MM PRINTER",INR 33850.00,INR 42000.00,880PWRD,INR 28200.00," INTEL i3 3rd GEN 4GB+128GB SSD 15.6"" FRONT DISPLAY 
11.6"" 2ND DISPLAY BUILT IN 80MM PRINTER",,,,0.00,INR 0.00,fifo,84705010,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030748705,TABLE TOP CHOTTU (G-EG),nos,"Model : YST-20
Max : 20kg e:2gm Min: 40g Class III
Display : Green",goods,,,,,,false,,WEIGHING SCALES INDIA,Inventory,TABLE TOP CHOTTU,"Model : YST-20
Max : 20kg e:2gm Min: 40g Class III
Display : Green",INR 1300.00,INR 4000.00,CH6VEG,INR 1050.00,"Max : 20kg e:2gm Min: 40g Class III
Display : Led Green,With Colour box,Brevera Board,6V Batttery",,,,0.00,INR 0.00,fifo,84231000,FALSE,,,,,,20.000000,32.000000,48.000000,62.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,6
99381000030748932,Analytical Balance 200g/0.0001g -External,nos,"Model :YSA  SKU : YSA 2004E
Max :200g e:1mg d: 0.1mg Min:100mg",goods,,,,,,false,,ANALYTICAL SCALES,Inventory,Analytical Balance 200g/0.0001g -External,"Model :YSA  SKU : YSA 2004E
Max :200g e:1mg d: 0.1mg Min:100mg",INR 24000.00,INR 45000.00,YSA204E,INR 15606.00,"Model :YSA  SKU : YSA 2004E
Max :200g e:1mg d: 0.1mg Min:100mg",,,,0.00,INR 0.00,fifo,90160020,FALSE,,,,,,8.000000,43.000000,35.000000,41.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,1
99381000030748948,BARCODE SCANNER PT - 198,nos,"1D Barcode scanner 
RS232 Serial Port ",goods,,,,,,false,,PRINTERS & SCANNERS,Inventory,BARCODE SCANNER PT - 198,"1D Barcode scanner 
RS232 Serial Port ",INR 1750.00,INR 4375.00,PT198,INR 1400.00,,,,,0.00,INR 0.00,fifo,84716050,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,,,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030749402,Gujarath Government Stamping Fee /Expense for 20 kg,nos,,goods,,,,,,false,,Stamping KL,Inventory,Government Stamping Fee /Expense for 30 kg,,INR 485.00,INR 1212.50,SF30,INR 335.00,,,,,0.00,INR 0.00,fifo,76061190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030749403,Government Stamping Fee / Expense for 510g,nos,,goods,,,,,,false,,Stamping KL,Inventory,Government Stamping Fee / Expense for 50kg,,INR 485.00,INR 1212.50,SF50,INR 335.00,,,,,0.00,INR 0.00,fifo,76061190,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
99381000030749410,KITCHEN SCALE 5Kg,nos,Display : Green,goods,,,,,,false,,WEIGHING INDICATORS,Inventory,Indicator,Display : Green,INR 1200.00,INR 3800.00,IND202,INR 699.00,Display : Green,,,,0.00,INR 0.00,fifo,84239020,FALSE,,,,,,0.000000,0.000000,0.000000,0.000000,cm,kg,true,,,GST18,18.000000,Group,IGST18,18.000000,Simple,
