Date,Credit Note Number,Branch Name,Invoice Number,Applied Invoice Date,Amount
2025-03-31,CN-00195,Cochin,YES/24-25/3644,2025-03-31,11449.000
2025-03-31,CN-00196,Cochin,YES/24-25/3647,2025-03-31,6927.000
2025-03-31,CN-00161,Cochin,YES/24-25/3644,2025-03-31,1.000
2025-04-04,CN-00197,Cochin,YES/25-26/0042,2025-04-04,28910.000
2025-04-10,CN-00198,Cochin,YES/25-26/0109,2025-04-10,2091.000
2025-04-30,CN-00161,Cochin,YES/25-26/0278,2025-04-30,9.000
2025-06-14,CN-00199,Cochin,YES/25-26/0654,2025-06-14,17682.000
2025-08-04,CN-00201,Cochin,YES/25-26/0943,2025-07-18,36610.000
2025-08-04,CN-00202,Cochin,YES/25-26/0915,2025-07-15,22727.000
2025-08-12,CN-00161,Cochin,YES/25-26/1160,2025-08-12,324.000
2025-08-20,CN-00198,Cochin,YES/25-26/1247,2025-08-20,33.000
2025-09-11,CN-00203,Head Office,YES/25-26/1464,2025-09-11,2407.000
2025-10-10,CN-00204,Cochin,YES/25-26/1712,2025-10-10,28840.000
2025-10-16,CN-00205,Cochin,YES/25-26/1768,2025-10-16,24426.000
2025-10-16,CN-00205,Cochin,YES/25-26/1764,2025-10-16,67154.000
2025-10-14,CN-00205,Cochin,YES/25-26/1735,2025-10-14,34035.000
2025-10-13,CN-00205,Cochin,YES/25-26/1727,2025-10-13,4033.000
2025-10-13,CN-00206,Cochin,YES/25-26/1725,2025-10-13,67064.000
2025-10-14,CN-00207,Cochin,YES/25-26/1738,2025-10-14,8863.000
2025-10-17,CN-00207,Cochin,YES/25-26/1784,2025-10-17,18314.000
2025-10-14,CN-00208,Cochin,YES/25-26/1733,2025-10-14,19412.000
2025-10-13,CN-00210,Cochin,YES/25-26/1728,2025-10-13,22185.000
2025-10-13,CN-00212,Cochin,YES/25-26/1726,2025-10-13,33962.000
2025-10-21,CN-00205,Cochin,YES/25-26/1803,2025-10-21,4284.000
2025-10-21,CN-00213,Cochin,YES/25-26/1805,2025-10-21,8491.000
2025-10-25,CN-00209,Cochin,YES/25-26/1857,2025-10-25,28377.000
2025-10-28,CN-00215,Cochin,YES/25-26/1885,2025-10-28,6792.000
2025-10-30,CN-00071,Head Office,YES/25-26/1916,2025-10-30,6.000
2025-10-31,CN-00209,Cochin,YES/25-26/1929,2025-10-31,464.000
2025-11-11,CN-00216,Cochin,YES/25-26/2049,2025-11-11,33594.740
2025-11-12,CN-00217,Cochin,YES/25-26/2067,2025-11-12,14824.000
2025-11-13,CN-00217,Cochin,YES/25-26/2079,2025-11-13,14856.000
2025-11-14,CN-00217,Cochin,YES/25-26/2084,2025-11-14,8968.000
2025-11-14,CN-00217,Cochin,YES/25-26/2093,2025-11-14,34202.000
2025-11-15,CN-00217,Cochin,YES/25-26/2111,2025-11-15,12940.000
2025-11-11,CN-00214,Cochin,YES/25-26/2036,2025-11-11,8491.000
2025-12-01,CN-00218,Cochin,YES/25-26/2248,2025-12-01,17110.000
2025-12-05,CN-00219,Cochin,YES/25-26/2302,2025-12-05,36816.000
2025-12-20,CN-00221,Cochin,YES/25-26/2463,2025-12-20,16992.000
2026-01-21,CN-00222,Head Office,YES/25-26/2735,2026-01-21,401.000
2026-02-28,CN-00223,Cochin,YES/25-26/3259,2026-02-28,17066.000
2026-02-28,CN-00223,Cochin,YES/25-26/3260,2026-02-28,1121.000
2026-03-02,CN-00163,Head Office,YES/25-26/3283,2026-03-02,9.000
2025-12-13,CN-00220,Head Office,YES/25-26/2340,2025-12-10,265.000
2026-03-17,CN-00224,Cochin,YES/25-26/3436,2026-03-17,106.000
2026-03-17,CN-00225,Cochin,YES/25-26/3436,2026-03-17,11210.000
2026-03-21,CN-00218,Cochin,YES/25-26/3477,2026-03-21,215.000
2026-04-06,CN-00216,Cochin,YES/26-27/0037,2026-04-06,0.260
2026-04-13,CN-00228,Cochin,YES/26-27/0095,2026-04-11,8260.000
2026-04-13,CN-00226,Cochin,YES/26-27/0108,2026-04-13,319.000
2026-04-13,CN-00227,Cochin,YES/26-27/0108,2026-04-13,318.000
2026-04-21,CN-00229,Head Office,YES/26-27/0216,2026-04-21,159.000
2026-04-25,CN-00230,Cochin,YES/26-27/0149,2026-04-16,64428.000
2026-04-25,CN-00231,Cochin,YES/26-27/0146,2026-04-16,59472.000
2026-05-27,CN-00218,Cochin,YES/26-27/0643,2026-05-27,21.000
2026-05-27,CN-00203,Head Office,YES/26-27/0634,2026-05-27,307.000
2026-06-02,CN-00232,Cochin,YES/26-27/0695,2026-06-02,29176.000
2026-06-06,CN-00233,Head Office,YES/26-27/0753,2026-06-06,590.000
2026-06-27,CN-00234,Cochin,YES/26-27/1022,2026-06-25,1156.000
2026-07-06,CN-00235,Head Office,YES/26-27/1164,2026-07-06,2336.000
2026-07-21,CN-00238,Cochin,YES/26-27/1356,2026-07-21,51129.000
2026-07-23,CN-00239,Cochin,YES/26-27/1384,2026-07-23,14160.000
2026-07-23,CN-00240,Cochin,YES/26-27/1385,2026-07-23,5015.000
2026-07-24,CN-00223,Cochin,YES/26-27/1407,2026-07-24,103.000
2026-07-24,CN-00237,Cochin,YES/26-27/1407,2026-07-24,13570.000
2026-07-24,CN-00241,Cochin,YES/26-27/1416,2026-07-24,17464.000
